05774000003200100;Abbestraße
05774000003200200;Abtsbrede
05774000003200300;Adelheidstraße
05774000003200400;Adolf-Kolping-Straße
05774000003200500;Agathastraße
05774000003200550;Ahdener Weg
05774000003200580;Akeleienweg
05774000003200600;Albinstraße
05774000003200650;Alderichstraße
05774000003200680;Alfener Weg
05774000003200710;Aldegreverstraße
05774000003200800;Almeweg
05774000003200810;Alois-Lödige-Straße
05774000003200820;Alois-Fuchs-Weg
05774000003200850;Alte Brauerei
05774000003200900;Alte Torgasse
05774000003201000;Am Abdinghof
05774000003201100;Am Atlaswerk
05774000003201210;Am Bahneinschnitt
05774000003201300;Am Behrenteich
05774000003201400;Am Bischofsteich
05774000003201500;Am Bogen
05774000003201600;Am Busdorf
05774000003201700;Am Damm
05774000003201800;Am Haxthausenhof
05774000003201900;Am Hilligenbusch
05774000003202000;Am Ikenberg
05774000003202100;Am Kalberdanz
05774000003202200;Am Laugrund
05774000003202300;Ammerweg
05774000003202400;Am Niesenteich
05774000003202500;Am Ostfriedhof
05774000003202600;Am Rippinger Weg
05774000003202700;Am Rolandsbad
05774000003202810;Am Rothoborn
05774000003203000;Am Silberbrink
05774000003203100;Am Stadelhof
05774000003203200;Am Turnplatz
05774000003203310;Am Waldplatz
05774000003203400;Am Westerntor
05774000003203500;An den Kapuzinern
05774000003203600;An den Lothewiesen
05774000003203650;An der Alten Synagoge
05774000003203700;An der Burg
05774000003203900;An der Schönen Aussicht
05774000003204000;An der Springbeke
05774000003204100;An der Talle
05774000003204200;An der Warmen Pader
05774000003204300;An der Wasserkunst
05774000003204400;Andreasstraße
05774000003204450;Angelnweg
05774000003204500;Anhalter Weg
05774000003204600;Annenbrede
05774000003204700;Annette-von-Droste-Straße
05774000003204800;Ansgarstraße
05774000003204910;Anton-Heinen-Straße
05774000003205000;Apengasse
05774000003205010;Belmer Weg
05774000003205050;Archenholdweg
05774000003205100;Arminiusstraße
05774000003205200;Arndtstraße
05774000003205230;Arnikaweg
05774000003205250;Arnold-Schlüter-Weg
05774000003205300;Arolser Weg
05774000003205410;Asternweg
05774000003205450;Attelner Weg
05774000003205470;Auenhauser Weg
05774000003205480;Auenweg
05774000003205550;Auf dem Kampe
05774000003205600;Auf den Dielen
05774000003205700;Auf der Lieth
05774000003205800;Auf der Schulbrede
05774000003205900;Auf der Sühle
05774000003206000;Auf der Töterlöh
05774000003206050;Augsburger Weg
05774000003206070;August-Potthast-Weg
05774000003206080;Backhorn
05774000003206100;Bachstraße
05774000003206400;Bahnhofstraße
05774000003206500;Balduinstraße
05774000003206590;Balhorner Feld
05774000003206600;Balhornstraße
05774000003206650;Baltrumer Weg
05774000003206680;Barntruper Straße
05774000003206700;Bastfelder Weg
05774000003206800;Bayernweg
05774000003206900;Benediktinerstraße
05774000003207000;Benhauser Straße
05774000003207050;Bergheimer Weg
05774000003207060;Bergmann-Michel-Straße
05774000003207100;Bergstraße
05774000003207200;Berliner Ring
05774000003207340;Bernhard-Köthenbürger-Straße
05774000003207380;Beverunger Weg
05774000003207400;Bessenstraße
05774000003207510;Birkenweg
05774000003207600;Blasiusstraße
05774000003207700;Bleichstraße
05774000003207750;Blomberger Straße
05774000003207800;Bodelschwinghstraße
05774000003207810;Bökendorfer Weg
05774000003207830;Böckstiegel-Straße
05774000003207850;Bonenburger Weg
05774000003207900;Bonifatiusweg
05774000003208010;Borchener Straße
05774000003208030;Borgentreicher Weg
05774000003208040;Borgholzer Weg
05774000003208050;Borkumer Weg
05774000003208060;Borlinghauser Weg
05774000003208070;Brahmsweg
05774000003208080;Brakeler Straße
05774000003208100;Brandenburger Weg
05774000003208200;Brandisstraße
05774000003208300;Brauerstraße
05774000003208400;Breslauer Straße
05774000003208500;Brigittenstraße
05774000003208550;Rolandsgärten
05774000003208600;Salierstraße
05774000003208700;Brüderstraße
05774000003208750;Brückengasse
05774000003208800;Bruktererweg
05774000003208850;Bunzlauer Straße
05774000003208900;Burgunder Weg
05774000003209000;Bursfelder Weg
05774000003209100;Busdorfmauer
05774000003209200;Busdorfwall
05774000003209230;Bühner Weg
05774000003209250;Bürener Weg
05774000003209300;Cheruskerstraße
05774000003209310;Christel-Poll-Weg
05774000003209400;Corveyer Weg
05774000003209500;Dahler Weg
05774000003209610;Dalheimer Weg
05774000003209700;Dahlienweg
05774000003209800;Damaschkestraße
05774000003209830;Daseburger Weg
05774000003209900;Delpstraße
05774000003210000;Dessauer Straße
05774000003210100;Detmolder Straße
05774000003210150;Dietrich-Bonhoeffer-Straße
05774000003210200;Dörener Platz
05774000003210300;Dörener Weg
05774000003210330;Dörenhagener Weg
05774000003210400;Domplatz
05774000003210500;Dompropsteigasse
05774000003210600;Domweg
05774000003210700;Driburger Straße
05774000003210740;Dringenberger Weg
05774000003210750;Wilseder Weg
05774000003210760;Ebbinghauser Weg
05774000003210790;Edith-Ostendorf-Weg
05774000003210800;Eckstraße
05774000003210810;Eibenweg
05774000003210820;Eggertstraße
05774000003210850;Eisteich
05774000003210900;Flößgraben
05774000003210910;Renkumer Weg
05774000003211000;Einhardstraße
05774000003211050;Eisenacher Weg
05774000003211100;Christoph-Tölle-Straße
05774000003211200;Elsa-Brändström-Weg
05774000003211250;Elisenhof
05774000003211300;Elsässer Weg
05774000003211350;Brüsekes Hof
05774000003211410;Elsener Straße
05774000003211500;Emmastraße
05774000003211550;Engelbert-Meyer-Weg
05774000003211600;Engernweg
05774000003211650;Enzianweg
05774000003211700;Erlenweg
05774000003211750;Erwin-Rommel-Straße
05774000003211800;Erzbergerstraße
05774000003211900;Estkowskistraße
05774000003211920;Ettelner Weg
05774000003211950;Eutiner Weg
05774000003212000;Bussardweg
05774000003212050;Espenweg
05774000003212100;Fechtelerstraße
05774000003212200;Ferdinandstraße
05774000003212300;Ferrariweg
05774000003212400;Fliederweg
05774000003212500;Fontanestraße
05774000003212530;Fölsener Weg
05774000003212700;Frankenweg
05774000003212800;Frankfurter Weg
05774000003213000;Franz-Egon-Straße
05774000003213100;Franz-Hitze-Straße
05774000003213200;Franziskanergasse
05774000003213300;Franziskanermauer
05774000003213400;Friedlandweg
05774000003213510;Friedrichstraße
05774000003213600;Friedrich-Ebert-Straße
05774000003213650;Friedrich-List-Straße
05774000003213700;Friedrich-von-Spee-Straße
05774000003213800;Friesenweg
05774000003213820;Frohnhauser Weg
05774000003213850;Fürstenallee
05774000003213900;Fürstenbergstraße
05774000003214010;Fürstenweg
05774000003214050;Güldenpfennigweg
05774000003214100;Gotenweg
05774000003214150;Gehrdener Weg
05774000003214200;Geroldstraße
05774000003214300;Gertrudenstraße
05774000003214330;Gertrud-Gröninger-Straße
05774000003214400;Gesellenhausgasse
05774000003214500;Giefersstraße
05774000003214600;Giersmauer
05774000003214700;Giersstraße
05774000003214800;Gierswall
05774000003214900;Ginsterweg
05774000003215000;Giselastraße
05774000003215100;Glatzer Straße
05774000003215200;Gleiwitzer Straße
05774000003215300;Glesekerstraße
05774000003215400;Glogauer Straße
05774000003215500;Goerdelerstraße
05774000003215610;Görlitzer Straße
05774000003215700;Goldregenweg
05774000003215800;Gottfried-Keller-Weg
05774000003215900;Grabbestraße
05774000003215930;Greifswalder Straße
05774000003215950;Greiteler Gärten
05774000003216000;Greitelerweg
05774000003216110;Grimmestraße
05774000003216150;Gronowskistraße
05774000003216200;Grube
05774000003216250;Grünebaumstraße
05774000003216300;Grüner Weg
05774000003216350;Grevestraße
05774000003216400;Grunigerstraße
05774000003216500;Gustav-Schultze-Straße
05774000003216600;Gutenbergstraße
05774000003216650;Haarener Weg
05774000003216660;Hans-Ortner-Weg
05774000003216700;Milanweg
05774000003216750;Hüfferweg
05774000003216770;Haggeneyweg
05774000003216800;Halberstädter Straße
05774000003216900;Haller Straße
05774000003216950;Hamberg
05774000003217000;Hans-Humpert-Straße
05774000003217100;Harbortweg
05774000003217140;Hardehauser Weg
05774000003217170;Harsewinkelweg
05774000003217200;Haselweg
05774000003217250;Hasenberg
05774000003217300;Hathumarstraße
05774000003217350;Haustenbecker Straße
05774000003217400;Haxtergrund
05774000003217500;Haxterhöhe
05774000003217710;Hedwigstraße
05774000003217720;Hedwig-Dransfeld-Straße
05774000003217800;Hopfenweg
05774000003217900;Heidturmweg
05774000003218000;Heiersmauer
05774000003218100;Heiersstraße
05774000003218210;Heierswall
05774000003218300;Kardinal-Jaeger-Straße
05774000003218320;Heinrich-Lücking-Straße
05774000003218340;Heinrich-Sprenger-Weg
05774000003218350;Helgoländer Weg
05774000003218400;Helmarshauser Weg
05774000003218420;Helmerner Weg
05774000003218450;Herbramer Weg
05774000003218470;Herlestraße
05774000003218500;Hermannstraße
05774000003218600;Hermann-Kirchhoff-Straße
05774000003218700;Hessenweg
05774000003218800;Hildegardstraße
05774000003218900;Hillebrandstraße
05774000003218950;Himmighauser Weg
05774000003218970;Hintere Köppen
05774000003219000;Hirtenweg
05774000003219050;Hochstiftstraße
05774000003219100;Höhenstraße
05774000003219160;Hohenloher Weg
05774000003219200;Hohoffstraße
05774000003219300;Holsteiner Weg
05774000003219400;Holtheimer Weg
05774000003219450;Horner Straße
05774000003219500;Stolbergallee
05774000003219600;Hudeweg
05774000003219700;Humperdinckweg
05774000003219810;Husener Straße
05774000003219900;Ilseweg
05774000003220010;Imadstraße
05774000003220050;Im Dörener Feld
05774000003220200;Im Goldgrund
05774000003220250;Im Lichtenfelde
05774000003220300;Im Lohfeld
05774000003220350;Immenberg
05774000003220400;Im Samtfelde
05774000003220600;Im Spiringsfelde
05774000003220700;In den Fürstengärten
05774000003220750;Ingolstädter Weg
05774000003220800;Jahnplatz
05774000003220810;Jacob-Pins-Weg
05774000003220900;Jahnstraße
05774000003221000;Jentzschstraße
05774000003221100;Jesuitenmauer
05774000003221170;Josef-Rikus-Weg
05774000003221180;Josef-Spiegel-Platz
05774000003221210;Josef-Wirmer-Weg
05774000003221240;Joseph-Brockmann-Weg
05774000003221400;Jühengasse
05774000003221500;Jühenplatz
05774000003221550;Julius-Leber-Straße
05774000003221610;Kamp
